,song,surprise,Album,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Unnamed: 0,venue_name,state,date,names
0,22,normal song,Red (Taylor's Version),0.642,0.695,7.0,-5.62,1.0,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,80.0,52,52,52,52,52
1,a perfectly good heart,not sang yet,Taylor Swift,0.483,0.751,4.0,-5.726,1.0,0.0365,0.00349,0.0,0.128,0.268,156.092,59.0,0,0,0,0,0
2,a place in this world,surprise song,Taylor Swift,0.576,0.777,9.0,-2.881,1.0,0.0324,0.051,0.0,0.32,0.428,115.028,62.0,1,1,1,1,1
3,afterglow,not sang yet,Lover,0.756,0.449,9.0,-8.746,1.0,0.0344,0.13,0.0,0.114,0.399,111.011,83.0,0,0,0,0,0
4,all too well,normal song,Red (Taylor's Version),0.44,0.528,0.0,-7.809,1.0,0.0317,0.0171,0.00203,0.234,0.132,185.972,77.0,52,52,52,52,52
5,all you had to do was stay,surprise song,1989 (Deluxe),0.605,0.725,5.0,-5.729,1.0,0.0323,0.00201,2.02e-05,0.101,0.539,96.97,71.0,1,1,1,1,1
6,antihero,normal song,Midnights (The Til Dawn Edition),0.637,0.649,4.0,-6.59,1.0,0.0584,0.115,1.22e-06,0.147,0.497,96.935,69.0,52,52,52,52,52
7,august,normal song,folklore (deluxe version),0.387,0.634,5.0,-9.222,1.0,0.0363,0.553,6.93e-05,0.0931,0.42,89.567,77.0,52,52,52,52,52
8,babe,not sang yet,Red (Taylor's Version),0.584,0.743,4.0,-7.075,1.0,0.0931,0.0538,2.83e-06,0.121,0.746,167.844,74.0,0,0,0,0,0
9,back to december,surprise song,Speak Now (Taylor's Version),0.497,0.635,2.0,-3.927,1.0,0.0273,0.00621,0.0,0.117,0.203,142.063,88.0,1,1,1,1,1
10,bad blood,normal song,1989 (Deluxe),0.646,0.794,7.0,-6.104,1.0,0.19,0.0885,6.16e-06,0.201,0.287,170.216,70.0,52,52,52,52,52
11,begin again,surprise song,Red (Taylor's Version),0.519,0.527,7.0,-7.673,1.0,0.0274,0.075,0.0,0.132,0.267,78.915,73.0,1,1,1,1,1
12,bejeweled,normal song,Midnights (The Til Dawn Edition),0.695,0.546,7.0,-9.184,1.0,0.066,0.0648,0.000128,0.0883,0.425,164.0,69.0,52,52,52,52,52
13,better man,surprise song,Red (Taylor's Version),0.473,0.579,4.0,-5.824,1.0,0.0384,0.214,0.0,0.0877,0.255,73.942,74.0,1,1,1,1,1
14,better than revenge,not sang yet,Speak Now (Taylor's Version),0.496,0.885,11.0,-2.969,0.0,0.0803,0.000886,0.0,0.191,0.665,145.863,86.0,0,0,0,0,0
15,betty,normal song,folklore (deluxe version),0.595,0.376,0.0,-8.767,1.0,0.0256,0.589,0.0,0.0989,0.476,95.946,73.0,52,52,52,52,52
16,bigger than the whole sky,not sang yet,Midnights (The Til Dawn Edition),0.48,0.22,6.0,-12.469,1.0,0.0425,0.837,0.00269,0.116,0.0633,82.951,66.0,0,0,0,0,0
