,song,surprise,Album,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Unnamed: 0,venue_name,state,date,names
0,mad woman,surprise song,folklore (deluxe version),0.593,0.7,3.0,-9.016,1.0,0.0492,0.67,6.77e-06,0.116,0.451,141.898,72.0,5.0,Raymond James Stadium,Florida,2023-04-15,mad woman
1,king of my heart,surprise song,reputation,0.675,0.703,0.0,-7.902,1.0,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,80.0,3.0,SoFi Stadium,California,2023-08-08,king of my heart
2,the great war,surprise song,Midnights (The Til Dawn Edition),0.573,0.737,5.0,-9.002,1.0,0.0352,0.203,2.78e-05,0.0851,0.592,96.009,68.0,6.0,Raymond James Stadium,Florida,2023-04-14,the great war
3,jump then fall,surprise song,Fearless (Taylor's Version),0.572,0.69,2.0,-6.201,1.0,0.0358,0.0474,0.0,0.0897,0.624,160.111,69.0,8.0,AT&T Stadium,Texas,2023-04-02,jump then fall
4,ivy,surprise song,evermore (deluxe version),0.515,0.545,2.0,-9.277,1.0,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,71.0,16.0,Paycor Stadium,Ohio,2023-07-01,ivy
5,the lakes,surprise song,folklore (deluxe version),0.313,0.258,2.0,-11.532,1.0,0.0383,0.842,1.3e-06,0.0948,0.268,179.947,74.0,6.0,Soldier Field,Illinois,2023-06-02,the lakes
6,invisible,surprise song,Taylor Swift,0.612,0.394,7.0,-5.723,1.0,0.0243,0.637,0.0,0.147,0.233,96.001,60.0,11.0,Gillette Stadium,Massachusetts,2023-05-20,invisible
7,the last time,surprise song,Red (Taylor's Version),0.502,0.534,2.0,-5.954,1.0,0.0278,0.0399,0.0,0.0977,0.155,94.05,74.0,1.0,Acrisure Stadium,Pennsylvania,2023-06-16,the last time
8,im only me when im with you,surprise song,Taylor Swift,0.563,0.934,8.0,-3.629,1.0,0.0646,0.00452,0.000807,0.103,0.518,143.964,64.0,17.0,Paycor Stadium,Ohio,2023-06-30,im only me when im with you
9,the lucky one,surprise song,Red (Taylor's Version),0.686,0.571,4.0,-7.138,1.0,0.05,0.066,0.0,0.0608,0.538,117.889,71.0,8.0,AT&T Stadium,Texas,2023-04-02,the lucky one
10,if this was a movie,surprise song,,,,,,,,,,,,,,19.0,U.S. Bank Stadium,Minnesota,2023-06-23,if this was a movie
11,i wish you would,surprise song,1989 (Deluxe),0.653,0.893,0.0,-5.966,1.0,0.0538,0.0158,4.95e-05,0.102,0.513,118.035,74.0,6.0,Soldier Field,Illinois,2023-06-02,i wish you would
12,i think he knows,surprise song,Lover,0.897,0.366,0.0,-8.029,1.0,0.0569,0.00889,0.000353,0.0715,0.416,100.003,80.0,10.0,Gillette Stadium,Massachusetts,2023-05-21,i think he knows
13,i miss you im sorry,surprise song,,,,,,,,,,,,,,16.0,Paycor Stadium,Ohio,2023-07-01,i miss you im sorry
14,i know places,surprise song,1989 (Deluxe),0.602,0.755,0.0,-4.991,1.0,0.071,0.245,0.0,0.178,0.495,159.965,72.0,3.0,SoFi Stadium,California,2023-08-08,i know places
15,the moment i knew,surprise song,Red (Taylor's Version),0.636,0.402,7.0,-7.855,1.0,0.031,0.0494,0.0,0.107,0.208,125.952,70.0,4.0,Soldier Field,Illinois,2023-06-04,the moment i knew
16,i dont wanna live forever,surprise song,,,,,,,,,,,,,,5.0,Soldier Field,Illinois,2023-06-03,i dont wanna live forever
17,the other side of the door,surprise song,Fearless (Taylor's Version),0.432,0.873,4.0,-4.367,1.0,0.0577,0.0279,0.0,0.167,0.629,163.936,71.0,1.0,Mercedes-Benz Stadium,Georgia,2023-04-28,the other side of the door
